ROI_Number,ROI_Name,Lobe,Acronyms,,
1,Anterior_Superior_Frontal_Gyrus,Frontal Lobe,L.aSFG,,
2,Anterior_Superior_Frontal_Gyrus,Frontal Lobe,R.aSFG,,
3,Middle_Superior_Frontal_Gyrus ,Frontal Lobe,L.mSFG,,
4,Middle_Superior_Frontal_Gyrus ,Frontal Lobe,R.mSFG,,
5,Posterior_Superior_Frontal_Gyrus ,Frontal Lobe,L.pSFG,,
6,Posterior_Superior_Frontal_Gyrus ,Frontal Lobe,R.pSFG,,
7,Anterior_Middle_Frontal_Gyrus ,Frontal Lobe,L.aMFG,,
8,Anterior_Middle_Frontal_Gyrus ,Frontal Lobe,R.aMFG,,
9,Posterior_Middle_Frontal_Gyrus ,Frontal Lobe,L.pMFG,,
10,Posterior_Middle_Frontal_Gyrus ,Frontal Lobe,R.pMFG,,
11,Anterior_Inferior_Frontal_Gyrus ,Frontal Lobe,L.aIFG,,
12,Anterior_Inferior_Frontal_Gyrus ,Frontal Lobe,R.aIFG,,
13,Middle_Infertior_Frontal_Gryus ,Frontal Lobe,L.mIFG,,
14,Middle_Infertior_Frontal_Gryus ,Frontal Lobe,R.mIFG,,
15,Posterior_Inferior_Frontal_Gyrus ,Frontal Lobe,L.pIFG,,
16,Posterior_Inferior_Frontal_Gyrus ,Frontal Lobe,R.pIFG,,
17,Medial_Orbitofrontal_Cortex ,Frontal Lobe,L.mOFC,,
18,Medial_Orbitofrontal_Cortex ,Frontal Lobe,R.mOFC,,
19,Lateral_Orbito-frontal_Cortex ,Frontal Lobe,L.latOFC,,
20,Lateral_Orbito-frontal_Cortex ,Frontal Lobe,R.latOFC,,
21,Anterior_Cingulate_Cortex,Limbic Lobe,L.ACC,,
22,Anterior_Cingulate_Cortex ,Limbic Lobe,R.ACC,,
23,Middle_Cingulate_Cortex ,Limbic Lobe,L.MCC,,
24,Middle_Cingulate_Cortex ,Limbic Lobe,R.MCC,,
25,Posterior_Cingulate_Cortex ,Limbic Lobe,L.PCC,,
26,Posterior_Cingulate_Cortex ,Limbic Lobe,R.PCC,,
27,Superior_Precentral_Gyrus ,Frontal Lobe,L.sPrCG,,
28,Superior_Precentral_Gyrus ,Frontal Lobe,R.sPrCG,,
29,Middle_Precentral_Gyrus ,Frontal Lobe,L.mPrCG,,
30,Middle_Precentral_Gyrus ,Frontal Lobe,R.mPrCG,,
31,Inferior_Precentral_Gyrus ,Frontal Lobe,L.iPrCG,,
32,Inferior_Precentral_Gyrus ,Frontal Lobe,R.iPrCG,,
33,Paracentral_Lobule ,Parietal Lobe,L.PCL,,
34,Paracentral_Lobule ,Parietal Lobe,R.PCL,,
35,Frontal_Operculum,Frontal Lobe,L.FrOP,,
36,Frontal_Operculum,Frontal Lobe,R.FrOP,,
37,Partietal_Operculum,Parietal Lobe,L.PaOP,,
38,Partietal_Operculum,Parietal Lobe,R.PaOP,,
39,Anterior_Insula ,Temporal Lobe,L.aIns,,
40,Anterior_Insula ,Temporal Lobe,R.aIns,,
41,Posterior_Insula ,Temporal Lobe,L.pIns,,
42,Posterior_Insula ,Temporal Lobe,R.pIns,,
43,Anterior_Transverse_Temporal_Gyrus,Temporal Lobe,L.aTTG,,
44,Anterior_Transverse_Temporal_Gyrus,Temporal Lobe,R.aTTG,,
45,Posterior_Transverse_Temporal_Gyrus,Temporal Lobe,L.pTTG,,
46,Posterior_Transverse_Temporal_Gyrus,Temporal Lobe,R.pTTG,,
47,Anterior_Superior_Temporal_Gyrus ,Temporal Lobe,L.aSTG,,
